priflik	publik	Util
7.57299e-09	1	7.64948e-11
0.0117965	1	0.000119142
2.75049e-05	1	2.77827e-07
0.00375003	7945.21	0.231335
4.84092e-06	0.135619	6.63151e-09
4.05499e-08	1	4.09595e-10
9.24154e-10	1.78039e+06	1.66194e-05
1.19446e-07	0.0425564	5.13454e-11
5.44185e-06	0.24202	1.33034e-08
0.00589849	1	5.95771e-05
6.05944e-06	12379	0.000757099
4.30093e-08	0.012087	5.25105e-12
1.18721e-06	0.0544634	6.53124e-10
0.00126165	7.30731e+06	0.989376
6.94078e-05	1	7.01088e-07
5.40163e-05	1366.61	0.000745096
1.78454e-07	0.00646206	1.16483e-11
0.000155238	0.0270588	4.24299e-08
5.85334e-10	5.01483e+09	0.0287962
2.98904e-08	0.502375	1.51679e-10
3.47879e-07	1	3.51393e-09
2.42357e-07	370.281	9.06465e-07
3.07422e-06	0.00458901	1.42501e-10
9.87736e-06	0.017993	1.79518e-09
3.29489e-07	8.98251e+10	0.996666
5.85176e-07	0.31185	1.84331e-09
1.35026e-08	0.572843	7.81297e-11
0.0219977	1	0.00022215
2.03261e-09	140.987	2.89466e-09
6.46704e-05	0.00364782	2.38289e-09
3.56433e-08	0.0133967	4.82326e-12
3.47551e-08	2.48268e+11	0.988657
8.14416e-08	0.207185	1.70439e-10
1.3063e-05	0.366274	4.83295e-08
1.45454e-06	0.609277	8.95168e-09
1.93e-09	1	1.94949e-11
0.00277473	62.8201	0.0017576
0.0592145	0.00297489	1.77935e-06
0.00195416	0.0103592	2.0448e-07
0.000681317	5.21524e+11	1
1.14256e-07	0.140533	1.6219e-10
5.46545e-05	0.246737	1.36215e-07
0.000120252	0.404093	4.9084e-07
5.5794e-05	0.627659	3.53733e-07
1.97697e-10	1	1.99694e-12
3.82588e-07	31.3442	1.2113e-07
2.46673e-05	0.00252899	6.30136e-10
9.46648e-07	0.00832462	7.96009e-11
3.83278e-06	8.54771e+11	0.99997
5.26741e-10	0.102569	5.45732e-13
5.00971e-05	0.173286	8.76883e-08
4.625e-06	0.268177	1.25285e-08
1.99856e-10	0.431512	8.71117e-13
3.36831e-07	0.670043	2.27971e-09
3.83364e-10	1	3.87237e-12
1.02661e-06	16.9772	1.76049e-07
5.25622e-07	0.00216846	1.15131e-11
2.66283	0.00686014	0.000184485
0.0148835	1.5477e+12	1
1.26141e-08	0.0772631	9.84446e-12
8.34698e-09	0.126513	1.06667e-11
6.49656e-06	0.192699	1.26453e-08
1.28845e-07	0.306427	3.98805e-10
3.43008e-09	0.45853	1.58868e-11
3.42391e-07	0.689715	2.38538e-09
9.28639e-05	1	9.38019e-07
6.88111e-09	9.9484	6.91476e-10
1.36385e-05	0.00191587	2.63936e-10
1.1049e-09	0.00576432	6.43336e-14
2.54963e-08	3.16714e+12	0.998776
1.76672e-06	0.0603961	1.07781e-09
4.73152e-09	0.0956724	4.57248e-12
2.73375e-09	0.146709	4.05116e-12
0.000100064	0.226293	2.28725e-07
7.44775e-07	0.330135	2.4836e-09
5.55664e-07	0.501931	2.81722e-09
7.24829e-05	0.702123	5.1406e-07
0.000738995	1	7.46454e-06
8.66676e-09	6.2581	5.47853e-10
2.25245e-06	0.00171462	3.9011e-11
3.8823e-05	0.00496924	1.9487e-09
0.000223848	5.49626e+12	1
1.45667e-06	0.0480094	7.06402e-10
3.32097e-06	0.0767631	2.57503e-09
8.20041e-07	0.115417	9.56028e-10
2.519e-08	0.177858	4.5255e-11
1.08643e-09	0.251527	2.76028e-12
1.0642e-06	0.373133	4.01099e-09
0.000100436	0.511747	5.1917e-07
2.86736e-08	0.744036	2.15497e-10
9.15343e-09	1	9.24589e-11
9.82956e-08	4.17112	4.14144e-09
3.33868e-05	0.00156605	5.28136e-10
4.35097e-07	0.00440995	1.93813e-11
5.9305e-11	8.92527e+12	0.842435
8.1241e-09	0.0392098	3.21762e-12
0.000146747	0.063103	9.35373e-08
8.70378e-05	0.0924123	8.1246e-08
7.42232e-06	0.137713	1.03248e-08
0.000108366	0.194555	2.12961e-07
9.13676e-07	0.288062	2.65854e-09
9.49495e-09	0.384281	3.68559e-11
0.000781651	0.554387	4.37712e-06
8.72108e-09	0.737229	6.49438e-11
6.39136e-11	1	6.45592e-13
0.000111921	2.91652	3.29717e-06
0.00421809	0.00143513	6.11464e-08
7.60951e-07	0.00399555	3.07113e-11
6.91264e-06	1.38205e+13	0.999999
5.84564e-07	0.0332129	1.96112e-10
4.25811e-06	0.0529117	2.2758e-09
7.22367e-05	0.0765732	5.58727e-08
1.63301e-06	0.112622	1.85771e-09
2.38398e-06	0.155308	3.73992e-09
0.10134	0.232514	0.000237953
1.01576e-05	0.30342	3.11314e-08
1.49475e-05	0.430786	6.50422e-08
0.00126079	0.563246	7.17301e-06
3.83356e-08	0.76257	2.95289e-10
2.19001e-07	1	2.21213e-09
1.41852e-07	2.11978	3.03731e-09
1.47733e-07	0.00134085	2.00089e-12
3.93314e-05	0.00362578	1.44048e-09
0.00760255	2.06317e+13	1
1.86062e-05	0.0292507	5.49743e-09
4.89022e-07	0.0449027	2.21802e-10
3.20726e-09	0.0634213	2.05463e-12
2.13343e-09	0.0940085	2.02586e-12
4.06626e-09	0.128083	5.26079e-12
0.000582766	0.191009	1.12438e-06
7.06263e-05	0.246234	1.75663e-07
4.90931e-05	0.335842	1.66541e-07
6.87869e-06	0.452192	3.1419e-08
2.48877e-09	0.595138	1.49612e-11
0.0031786	0.756543	2.42898e-05
0.00420147	1	4.24373e-05
0.00113211	1.59394	1.82271e-05
0.000278702	0.00125728	3.53946e-09
4.80555e-07	0.00337133	1.63647e-11
8.63699e-05	2.91717e+13	1
0.00634483	0.025715	1.64805e-06
0.0022817	0.0393354	9.06581e-07
0.0254953	0.0551514	1.42029e-05
0.00198046	0.0793942	1.58825e-06
2.57246e-05	0.106859	2.77666e-08
6.01153e-06	0.160525	9.74747e-09
1.88457e-07	0.201207	3.8302e-10
0.328217	0.26867	0.000889934
1.76745e-06	0.366044	6.535e-09
1.70558e-06	0.471942	8.13066e-09
2.85954e-07	0.595324	1.71955e-09
2.12639e-10	0.773226	1.66079e-12
4.63513e-06	1	4.68195e-08
4.77912e-07	1.22689	5.92268e-09
5.51668e-09	0.00118543	6.60571e-14
6.57163e-08	0.00316038	2.09786e-12
0.00270611	4.35854e+13	1
0.00240689	0.0227816	5.53868e-07
2.27686e-09	0.0349585	8.03995e-13
6.98086e-08	0.0485984	3.42686e-11
1.97312e-05	0.0691157	1.37751e-08
1.58925e-05	0.0918299	1.47415e-08
9.71845e-07	0.13562	1.33133e-09
1.40842e-08	0.170105	2.42e-11
3.82497e-05	0.224135	8.65971e-08
